sha,date,subject,files,lines,category,hint,first_file
a11c4566,2026-02-19,Messenger: apply rounded corners and border to entire unified layout section,2,8,🟠ux-gated,touches-templates-or-static,backend/messenger/static/messenger/operator-panel.js
7f7467de,2026-02-19,Messenger: add autogrow textarea and Ctrl+V image paste for operator panel and widget,4,135,🟠ux-gated,touches-templates-or-static,backend/messenger/static/messenger/operator-panel.js
e7f2f293,2026-02-19,Messenger: add attachment preview cards and image modal,4,588,🟠ux-gated,touches-templates-or-static,backend/messenger/static/messenger/operator-panel.js
691ed722,2026-02-19,Messenger: fix duplicate messagesList declaration in operator panel,1,1,❓review,no-heuristic-match,backend/messenger/static/messenger/operator-panel.js
206ce1fc,2026-02-19,Messenger settings: fix logger extra name collision,1,2,❓review,no-heuristic-match,backend/ui/views.py
681e69e5,2026-02-19,Widget: allow overriding API base URL via data attribute,2,8,❓review,no-heuristic-match,backend/messenger/static/messenger/widget-loader.js
6df89405,2026-02-19,"Messenger inbox: add channel type, website domain and improved embed snippet",2,87,🟠ux-gated,touches-templates-or-static,backend/templates/ui/settings/messenger_inbox_form.html
b8ef9b9e,2026-02-19,Обновлён UI немодальной панели контакта: современные типы и управление email/телефонами,2,281,🟠ux-gated,touches-templates-or-static,backend/templates/ui/company_detail.html
7fda4b51,2026-02-19,Messenger inbox: allow safe deletion,2,50,🟠ux-gated,touches-templates-or-static,backend/templates/ui/settings/messenger_inbox_form.html
8ac976c6,2026-02-19,"Messenger widget: fix embed code, CORS and delivered helper",2,136,🟠ux-gated,touches-templates-or-static,backend/messenger/widget_api.py
48c2eb81,2026-02-19,Staging: документировать CORS и исправить CORS для Widget API,4,22,❓review,no-heuristic-match,deploy_staging.sh
975418a1,2026-02-19,Messenger widget: fix safe logging extra fields,1,25,❓review,no-heuristic-match,backend/messenger/logging_utils.py
982b6ed7,2026-02-19,Widget: backoff polling on 429 and raise default poll rate,2,70,❓review,no-heuristic-match,backend/crm/settings.py
bdc93679,2026-02-19,Widget: улучшить SSE переподключение и nginx конфигурацию,3,86,❓review,no-heuristic-match,backend/messenger/static/messenger/widget.js
4b47b7a3,2026-02-20,"Live-chat: вкладки в форме источника, навигация подразделов, UI в стиле Chatwoot",13,583,🟠ux-gated,touches-templates-or-static,backend/docs/MESSENGER_UI_CHATWOOT_STYLE.md
9bb2f020,2026-02-20,"Код-ревью Live-chat: форма при inbox=None, URL через {% url %}, вложенные формы, крошки, aria-current",11,220,🟠ux-gated,touches-templates-or-static,backend/docs/CODE_REVIEW_MESSENGER_UI.md
51df6910,2026-02-20,"Исправление вкладок настроек источника: класс inbox-form-tabs, полная ширина",1,2,🟠ux-gated,touches-templates-or-static,backend/templates/ui/settings/messenger_inbox_form.html
cafaf6df,2026-02-20,"Конструктор виджета: предпросмотр в стиле Chatwoot, обновление в реальном времени",1,120,🟠ux-gated,touches-templates-or-static,backend/templates/ui/settings/messenger_inbox_form.html
4393ca05,2026-02-20,"Виджет: единые стили в предпросмотре и на сайте, обновлённый вид (тени, скругления, форма)",3,114,🟠ux-gated,touches-templates-or-static,backend/messenger/static/messenger/widget.css
3e24e48b,2026-02-20,"Предпросмотр: два режима (По умолчанию / Чат), согласие и политика, виджет: картинки в новой вкладке, эмодзи и современный ввод",4,270,🟠ux-gated,touches-templates-or-static,backend/messenger/static/messenger/widget.css
6076cad2,2026-02-20,Исправление: extra['name'] в логгере заменён на inbox_name (конфликт с LogRecord.name),1,2,❓review,no-heuristic-match,backend/ui/views.py
814fa391,2026-02-20,"Виджет: min-height 460px, лента сообщений 260–420px — без скукоживания",1,5,❓review,no-heuristic-match,backend/messenger/static/messenger/widget.css
112011e7,2026-02-20,"Виджет: убрать Chatwoot, пре-чат с согласием, высота, рабочие часы",8,506,🟠ux-gated,touches-templates-or-static,backend/crm/urls.py
2089cab5,2026-02-20,"Виджет и Диалоги: кнопка в превью, ввод как в Telegram, эмодзи-пикер, Apple-эмодзи",5,510,🟠ux-gated,touches-templates-or-static,backend/messenger/static/messenger/operator-panel.js
8e211ff6,2026-02-20,"Виджет и Диалоги: минималистичные иконки, эмодзи Apple как картинки",5,375,🟠ux-gated,touches-templates-or-static,backend/messenger/static/messenger/operator-panel.js
f5d235fb,2026-02-20,Исправлена ошибка AttributeError при получении working_hours из настроек inbox,2,23,❓review,no-heuristic-match,backend/messenger/utils.py
083ed990,2026-02-20,"Исправления виджета: цвет текста, встроенные иконки, CORS для SSE, скрытие скроллбара, сохранение истории",3,145,❓review,no-heuristic-match,backend/messenger/static/messenger/widget.css
546c035d,2026-02-20,"Исправления виджета: CORS для SSE, отложенное создание диалога, улучшенный UI поля ввода, правильное отображение сообщений, скрытие политики",3,77,❓review,no-heuristic-match,backend/messenger/static/messenger/widget.css
2eb79b18,2026-02-20,"Критические исправления виджета: OPTIONS для SSE, явное преобразование direction, синхронизация предпросмотра, улучшенное сохранение сообщений",3,32,🟠ux-gated,touches-templates-or-static,backend/messenger/static/messenger/widget.js
87508432,2026-02-20,Критическое исправление: переведен SSE endpoint на обычный Django view для обхода проблем с DRF content negotiation,1,33,❓review,no-heuristic-match,backend/messenger/widget_api.py
414af36a,2026-02-20,"Исправление сохранения и загрузки истории сообщений: не сбрасываем sinceId при bootstrap, правильно обрабатываем initialMessages, вызываем render после bootstrap в open",2,18,❓review,no-heuristic-match,backend/messenger/static/messenger/widget.js
6e541b26,2026-02-20,"Добавлена возможность удаления чатов для роли Администратор: метод destroy в ConversationViewSet, кнопка удаления в UI, обработчик в operator-panel.js",4,186,🟠ux-gated,touches-templates-or-static,backend/messenger/api.py
47c510e6,2026-02-20,Улучшение UI/UX мессенджера по образцу Chatwoot,30,7491,🟠ux-gated,touches-templates-or-static,.gitignore
a18d2117,2026-02-20,Исправление: сокращение имён индексов до 30 символов,2,24,❓review,no-heuristic-match,backend/messenger/migrations/0011_add_composite_indexes_phase2.py
5e030ec5,2026-02-20,Исправление миграции 0009: AddField вместо AlterField для новых полей,1,34,❓review,no-heuristic-match,backend/messenger/migrations/0009_add_critical_fields_phase1.py
f461f727,2026-02-20,Исправление ошибок после переименования last_message_at,2,13,❓review,no-heuristic-match,backend/messenger/api.py
d545148e,2026-02-20,Исправление: замена last_message_at на last_activity_at в ui/views.py,1,7,❓review,no-heuristic-match,backend/ui/views.py
7ce8934b,2026-02-20,Исправление аналитики Messenger: расчёт средних в Python,1,93,❓review,no-heuristic-match,backend/ui/views.py
0f5436b0,2026-02-20,Live-chat settings: redesign overview page по мотивам Chatwoot,2,220,🟠ux-gated,touches-templates-or-static,backend/templates/ui/settings/messenger_overview.html
265537ae,2026-02-20,Fix: messenger overview template filter usage,1,2,🟠ux-gated,touches-templates-or-static,backend/templates/ui/settings/messenger_overview.html
fd5b0b75,2026-03-02,Компании: кнопка Переназначить активна только при выборе нового ответственного,1,36,🟠ux-gated,touches-templates-or-static,backend/templates/ui/company_list.html
3229e57f,2026-03-02,Feat: удаление пользователя из настроек (settings/users),3,87,🟠ux-gated,touches-templates-or-static,backend/templates/ui/settings/users.html
4148a0c2,2026-04-02,Fix(merge): добавить messenger в INSTALLED_APPS,1,1,🟢ops,only-ops-files,backend/crm/settings.py
41dedddc,2026-04-02,Fix(merge): восстановить удалённые messenger-файлы,30,3036,🟠ux-gated,touches-templates-or-static,backend/messenger/__init__.py
60b9f87b,2026-04-02,Fix(merge): messenger views в пакет ui/views + INSTALLED_APPS,2,894,🟠ux-gated,fix+ui-touched,backend/ui/views/__init__.py
ed4abc9d,2026-04-02,"Security(audit): XSS, open redirect, race conditions, CSP nonce, dead code",12,163,🟠ux-gated,touches-templates-or-static,backend/accounts/views.py
2f080f88,2026-04-02,Feat(amoCRM): включить импорт email-писем из amoCRM,1,11,🟡featured,feat-subject-backend,backend/amocrm/migrate.py
403a3cb1,2026-04-02,"Feat(Timeline): таймлайн истории компании — звонки, письма, передвижения",5,238,🟠ux-gated,touches-templates-or-static,backend/amocrm/migrate.py
da4a7dd3,2026-04-02,Fix(amoCRM): update_fields использовали property-имена вместо реальных полей БД,2,8,🟠ux-gated,fix+ui-touched,backend/amocrm/client.py
e8484698,2026-04-02,Fix(Timeline): модалка истории показывает полный таймлайн (звонки+письма+передвижения),1,153,🟠ux-gated,touches-templates-or-static,backend/templates/ui/company_detail.html
9082c953,2026-04-02,Fix(Timeline): модалка истории — исправлена прокрутка,1,4,🟠ux-gated,touches-templates-or-static,backend/templates/ui/company_detail.html
09c481bd,2026-04-02,"Feat(Timeline): полная история карточки — заметки, задачи, сделки, звонки CRM, рассылки, удаления",2,243,🟠ux-gated,touches-templates-or-static,backend/templates/ui/company_detail.html
153863ac,2026-04-02,Feat(Timeline): фильтры + SMS тип + скрытие пустых категорий,4,163,🟠ux-gated,touches-templates-or-static,backend/amocrm/migrate.py
e445d976,2026-04-02,UI(Timeline): надпись «Фильтр» + толще разделитель под кнопками,1,3,🟠ux-gated,ui-subject,backend/templates/ui/company_detail.html
66a2cb7d,2026-04-02,"Feat(Timeline): лимит 2000, сортировка, sticky-шапка, счётчики фильтров",2,156,🟠ux-gated,touches-templates-or-static,backend/templates/ui/company_detail.html
f2b2bac8,2026-04-03,Fix(Timeline): задачи разделены на «Создана» и «Выполнена» с правильными датами,2,37,🟠ux-gated,touches-templates-or-static,backend/templates/ui/company_detail.html
d3974b95,2026-04-03,Fix(Timeline): запросы на удаление разделены на «Создан» и «Решение»,2,30,🟠ux-gated,touches-templates-or-static,backend/templates/ui/company_detail.html
bc0061fc,2026-04-03,Feat(Messenger): операторская панель подключена к CRM + ролевые ограничения,9,316,🟠ux-gated,touches-templates-or-static,backend/crm/urls.py
8d608020,2026-04-03,Fix(Messenger): критические исправления для production-ready качества,5,405,🟠ux-gated,fix+ui-touched,backend/messenger/api.py
2e852d71,2026-04-03,"Feat(Messenger): Chatwoot/JivoChat-level UX — labels, canned responses, bulk actions, animations",18,1153,🟠ux-gated,touches-templates-or-static,backend/crm/exceptions.py
d816bd1d,2026-04-03,Feat(Messenger): standalone widget test page at /widget-test/,3,133,🟡featured,feat-subject-backend,backend/crm/urls.py
7fe9fd49,2026-04-03,Fix(Widget): skip CSP headers on widget-test page,2,8,❓review,fix+api-or-views,backend/crm/middleware.py
eeb1f16f,2026-04-03,Fix(Widget): force HTTPS in widget-test page URLs,1,5,❓review,fix+api-or-views,backend/messenger/views.py
1b9eddf1,2026-04-03,Fix(Widget): add @authentication_classes([]) to all widget API endpoints,1,10,🟢ops,fix-subject-internal,backend/messenger/widget_api.py
35c4754e,2026-04-03,Fix(Messenger): CSP nonce on all script tags + keep unsafe-inline for event handlers,2,52,🟠ux-gated,touches-templates-or-static,backend/crm/middleware.py
c68ff836,2026-04-03,Fix(CSP): use unsafe-inline without nonce for script-src,1,15,🟢ops,fix-subject-internal,backend/crm/middleware.py
35e4d46a,2026-04-03,Fix(Messenger): unread variable scoping bug in updateConversationCardInPlace,1,6,🟠ux-gated,fix+ui-touched,backend/messenger/static/messenger/operator-panel.js
c723d6ea,2026-04-03,Fix(Messenger): SSE stream 406 — add EventStreamRenderer for text/event-stream,1,11,❓review,fix+api-or-views,backend/messenger/api.py
60fa7309,2026-04-03,Fix(Messenger): anti-flicker DOM update for conversation list,1,31,🟠ux-gated,fix+ui-touched,backend/messenger/static/messenger/operator-panel.js
a9f19a24,2026-04-03,"Feat(Messenger): Phase 1 — sound, push notifications, global SSE, toast system",13,1424,🟠ux-gated,touches-templates-or-static,backend/crm/settings.py
862abe93,2026-04-03,"Feat(Messenger): Phase 2 — widget customization, auto-resolve, Celery tasks",5,141,🟠ux-gated,feat+ui,backend/crm/settings.py
01dbf4d3,2026-04-03,"Feat(Messenger): Phase 3 — campaigns, automation rules, analytics reporting",10,900,🟠ux-gated,feat+ui,backend/crm/urls.py
9eb6714f,2026-04-03,"Feat(Messenger): P1/P2 — delivery status, email notify, macros, @mentions, contact merge",8,584,🟠ux-gated,feat+ui,backend/crm/urls.py
32e87168,2026-04-03,Fix(Messenger): serve sw-push.js directly instead of redirect,2,26,❓review,fix+api-or-views,backend/crm/urls.py
a48ea8ce,2026-04-03,"Fix(Messenger): sidebar badge, delete overlap, AbortError + settings UI",11,379,🟠ux-gated,touches-templates-or-static,backend/messenger/api.py
cc179dac,2026-04-03,Fix(Settings): передать MESSENGER_ENABLED в контекст dashboard,1,5,🟠ux-gated,fix+ui-touched,backend/ui/views/settings_core.py
680722d5,2026-04-03,UI(Settings): унифицировать стиль иконок Live-chat карточек,1,14,🟠ux-gated,ui-subject,backend/templates/ui/settings/dashboard.html
23319ebf,2026-04-03,Fix(Analytics): убрать UnboundLocalError + скрыть вкладку аналитики чата,2,7,🟠ux-gated,touches-templates-or-static,backend/templates/ui/settings/messenger_nav.html
f075adf1,2026-04-03,UI(Settings): единый квадратный размер иконок на всех карточках,1,32,🟠ux-gated,ui-subject,backend/templates/ui/settings/dashboard.html
92f4c6da,2026-04-03,UI(Settings): заменить нечитаемую иконку Кампании на rocket-launch,1,3,🟠ux-gated,ui-subject,backend/templates/ui/settings/dashboard.html
99d171db,2026-04-03,UI(LiveChat): полный редизайн всех страниц настроек,7,906,🟠ux-gated,ui-subject,backend/templates/ui/settings/messenger_automation.html
29cbf214,2026-04-03,UI(Overview): убрать общий код виджета — он у каждого Inbox свой,1,29,🟠ux-gated,ui-subject,backend/templates/ui/settings/messenger_overview.html
a961a006,2026-04-03,UI(Inbox): полный редизайн настроек источника,3,1237,🟠ux-gated,ui-subject,backend/templates/ui/settings/messenger_inbox_form.html
a7e760ba,2026-04-03,UI(Settings): modernize routing & canned response forms,2,233,🟠ux-gated,ui-subject,backend/templates/ui/settings/messenger_canned_form.html
4ecb0cb6,2026-04-03,"Feat(Messenger): WebSocket support, async dispatchers, widget demo modernization",12,943,🟠ux-gated,touches-templates-or-static,.mcp.json
b3873f20,2026-04-03,Fix(Messenger): use AsyncWebsocketConsumer instead of AsyncJsonWebSocketConsumer,1,66,🟢ops,fix-subject-internal,backend/messenger/consumers.py
17877449,2026-04-03,Fix(Messenger): replace broken url reverse in widget_demo template,1,2,🔴hold,wip-in-subject,backend/messenger/templates/messenger/widget_demo.html
38b600c9,2026-04-03,Fix(Messenger): hide 'Assign me' button for non-manager roles,1,4,🟠ux-gated,fix+ui-touched,backend/messenger/static/messenger/operator-panel.js
b5780ff3,2026-04-03,Fix(Messenger): add cache-buster to operator-panel.js script tag,1,2,🟠ux-gated,touches-templates-or-static,backend/templates/ui/messenger_conversations_unified.html
ef825afb,2026-04-03,Fix(Messenger): replace broken getAccessToken() with session-cookie auth in macros/mentions,2,10,🔴hold,wip-in-subject,backend/messenger/static/messenger/operator-panel.js
861375e5,2026-04-03,Fix(Messenger): add body length validation in operator message API,1,6,❓review,fix+api-or-views,backend/messenger/api.py
f8e8b20a,2026-04-04,"Harden(Messenger): transaction safety, file upload validation, session IP binding",5,271,❓review,fix+api-or-views,backend/messenger/api.py
0157b41a,2026-04-04,"Harden(Messenger): consumers safety, Celery acks_late, nginx SSE, logging",5,113,🟢ops,fix-subject-internal,backend/crm/settings.py
ce4fc548,2026-04-04,"Harden(Messenger): automation race fix, widget XSS, serializer fields, session TTL",4,75,🟠ux-gated,fix+ui-touched,backend/messenger/automation.py
c024e719,2026-04-04,"Harden(Messenger): operator-panel leak fixes, widget destroy(), serializer whitelist",3,91,🟠ux-gated,fix+ui-touched,backend/messenger/serializers.py
c96781f9,2026-04-04,Harden(Messenger): whitelist Campaign/AutomationRule serializer fields,1,11,❓review,fix+api-or-views,backend/messenger/api.py
5a88c6e5,2026-04-04,"Harden(Messenger): status filter validation, merge-contacts auth check",1,12,❓review,fix+api-or-views,backend/messenger/api.py
7fcdcdde,2026-04-04,Fix(Messenger): handle invalid UUID in merge-contacts (500 → 404),1,2,❓review,fix+api-or-views,backend/messenger/api.py
50f1efed,2026-04-04,Fix(Messenger): catch Django ValidationError for invalid UUID in merge-contacts,1,3,❓review,fix+api-or-views,backend/messenger/api.py
6e4620f5,2026-04-06,Fix(Widget): auto-load widget.css for external embedding,1,18,🟠ux-gated,fix+ui-touched,backend/messenger/static/messenger/widget.js
18dbf9c9,2026-04-06,Fix(Nginx): add CORS handling for widget API in Docker nginx,1,20,🟢ops,only-ops-files,nginx/staging.conf
4d3f71a1,2026-04-06,Fix(Nginx): remove CORS from nginx — Django handles it via _add_widget_cors_headers,1,21,🟢ops,only-ops-files,nginx/staging.conf
34c19cbe,2026-04-06,"Fix(Nginx): handle widget OPTIONS preflight in nginx, POST CORS in Django",1,16,🟢ops,only-ops-files,nginx/staging.conf
27131cef,2026-04-06,Fix(Widget): add CORS headers to campaigns endpoint,1,3,🟢ops,fix-subject-internal,backend/messenger/widget_api.py
eeb51ac6,2026-04-06,Fix(Widget): add bound_ip and created_at fields to WidgetSession dataclass,1,2,🟢ops,fix-subject-internal,backend/messenger/utils.py
b9e3f8b6,2026-04-06,"Fix(Messenger): SSE real-time — gevent workers, stream bugs, email notification",7,17,❓review,fix+api-or-views,Dockerfile.staging
18deaa7b,2026-04-06,Fix(Messenger): switch gevent → gthread (psycopg3 incompatibility),3,5,🟢ops,only-ops-files,Dockerfile.staging
f353c587,2026-04-06,Fix(Messenger): SSE двойная дедупликация + admin can_reply,3,25,🟠ux-gated,fix+ui-touched,backend/messenger/api.py
ec56c0db,2026-04-06,Debug(Widget): add SSE + addMessageToUI console logging,1,15,❓review,no-heuristic-match,backend/messenger/static/messenger/widget.js
b26fadb5,2026-04-06,Fix(Widget): triple dedup bug — messages never rendered on reload,1,14,🟠ux-gated,fix+ui-touched,backend/messenger/static/messenger/widget.js
6c3ba20b,2026-04-06,"Fix(Widget): remove debug logging, clean SSE handler",1,13,🟠ux-gated,fix+ui-touched,backend/messenger/static/messenger/widget.js
92615b58,2026-04-06,"Docs: SSE P0 bug resolved, update sprint/roadmap/problems-solved",3,276,⚫trivial,docs-only,docs/current-sprint.md
fa1627f6,2026-04-06,Docs(Wiki): update Obsidian wiki with SSE fix details,21,1301,❓review,no-heuristic-match,docs/wiki/00-HOME.md
b00ad093,2026-04-06,Feat: add Context7 MCP server for up-to-date library docs,3,192,🟡featured,feat-subject-backend,.mcp.json
212480cc,2026-04-07,Fix(Companies): bulk transfer блокировался при наличии запрещённых компаний,2,25,🟠ux-gated,touches-templates-or-static,backend/templates/ui/company_list.html
5f461e7c,2026-04-13,Feat(Messenger): add client_region field for auto-routing,3,77,🟡featured,feat-subject-backend,backend/messenger/migrations/0016_conversation_client_region.py
395ec12b,2026-04-13,Feat(Messenger): add messenger_online heartbeat endpoint,5,91,🟡featured,feat-subject-backend,backend/accounts/migrations/0010_user_messenger_online.py
68e7d195,2026-04-13,Feat(Accounts): add BranchRegion model + fixture from Polozhenie 2025-2026,7,373,🟡featured,feat-subject-backend,backend/accounts/fixtures/branch_regions_2025_2026.json
fe115cc9,2026-04-13,Feat(Messenger): add ConversationTransfer model + API endpoint,5,231,🟡featured,feat-subject-backend,backend/messenger/api.py
67633bdf,2026-04-13,Feat(Messenger): add Message.is_private + widget filter,4,105,🟡featured,feat-subject-backend,backend/messenger/migrations/0018_message_is_private.py
4603c771,2026-04-13,Feat(Messenger): добавить флаг needs_help для эскалации диалога,2,35,🟡featured,feat-subject-backend,backend/messenger/migrations/0019_conversation_needs_help.py
6ae7bc38,2026-04-13,Feat(Messenger): добавить MultiBranchRouter для маршрутизации по региону,3,151,🟡featured,feat-subject-backend,backend/messenger/assignment_services/__init__.py
cbbc46f4,2026-04-13,Feat(Messenger): добавить BranchLoadBalancer для выбора менеджера,2,110,🟡featured,feat-subject-backend,backend/messenger/assignment_services/branch_load_balancer.py
6ab55112,2026-04-13,Feat(Messenger): автоназначение диалога на менеджера филиала,4,197,🟡featured,feat-subject-backend,backend/messenger/apps.py
d98549e4,2026-04-13,Feat(Messenger): ролевая видимость диалогов,2,191,🟡featured,feat-subject-backend,backend/messenger/selectors.py
49eb8f91,2026-04-13,Feat(Messenger): celery task check_offline_operators,3,47,🟡featured,feat-subject-backend,backend/crm/settings.py
3a62b66b,2026-04-13,Fix(Accounts): branch_regions fixture — tmn → tym (соответствие коду филиала Тюмень),1,56,🟢ops,fix-subject-internal,backend/accounts/fixtures/branch_regions_2025_2026.json
12325a08,2026-04-13,Docs: Live-chat Backend Foundation (Plan 1) завершён,2,63,❓review,no-heuristic-match,docs/current-sprint.md
cce8224c,2026-04-13,Feat(Messenger): поля last_customer_msg_at и last_agent_msg_at,3,108,🟡featured,feat-subject-backend,backend/messenger/migrations/0020_conversation_msg_timestamps.py
5c81536a,2026-04-13,Feat(Messenger): property ui_status + template tag + сериалайзер,5,141,🟠ux-gated,touches-templates-or-static,backend/messenger/models.py
ac93be11,2026-04-13,Feat(Messenger): property waiting_minutes + пороги эскалации,3,82,🟡featured,feat-subject-backend,backend/messenger/models.py
40ebff0a,2026-04-13,Feat(Messenger): CannedResponse.is_quick_button + sort_order,4,85,🟡featured,feat-subject-backend,backend/messenger/migrations/0021_cannedresponse_quick_button.py
2a6df8b1,2026-04-13,Feat(Messenger): Plan 2 Task 5 — needs-help API + agents filters + branches endpoint,3,283,🟡featured,feat-subject-backend,backend/messenger/api.py
3c57dae1,2026-04-13,"Refactor(Messenger): Plan 2 Task 5 — code review fixes (roles, imports, edge tests)",2,39,🔵refactor,refactor-subject,backend/messenger/api.py
0ae5ae48,2026-04-13,Feat(Messenger): Plan 2 Task 6 — контекстная primary CTA и меню ⋯ в шапке диалога,1,227,🟠ux-gated,feat+ui,backend/messenger/static/messenger/operator-panel.js
4551b0c4,2026-04-13,Feat(Messenger): Plan 2 Task 7 — resolve modal + 5s undo toast,2,234,🟠ux-gated,touches-templates-or-static,backend/messenger/static/messenger/operator-panel.js
5bdef2c2,2026-04-13,Refactor(Messenger): Plan 2 Task 7 — error handling + resolve modal UX hints,2,7,🟠ux-gated,touches-templates-or-static,backend/messenger/static/messenger/operator-panel.js
f6cbf47e,2026-04-13,Feat(Messenger): Plan 2 Task 8 — transfer modal с обязательной причиной и cross-branch предупреждением,2,325,🟠ux-gated,touches-templates-or-static,backend/messenger/static/messenger/operator-panel.js
ae48596a,2026-04-13,Feat(Messenger): Plan 2 Task 9 — автосохранение черновиков сообщений в localStorage,1,159,🟠ux-gated,feat+ui,backend/messenger/static/messenger/operator-panel.js
75abc684,2026-04-13,Feat(Messenger): Plan 2 Task 10 — визуальный аффорданс режима внутренней заметки,2,41,🟠ux-gated,touches-templates-or-static,backend/messenger/static/messenger/operator-panel.js
53e58086,2026-04-13,Fix(Tests): accounts.tests_branch_region — update Тюмень code tmn→tym,1,2,🟢ops,fix-subject-internal,backend/accounts/tests_branch_region.py
b7c01046,2026-04-13,Feat(Messenger): Plan 2 Task 11 — ряд кнопок быстрых ответов над полем ввода,3,144,🟠ux-gated,feat+ui,backend/messenger/api.py
9dfa7614,2026-04-13,"Feat(Messenger): Plan 2 Task 12 — бейдж ""Позван старший"" в списке и шапке диалога",3,24,🟠ux-gated,feat+ui,backend/messenger/serializers.py
da003917,2026-04-13,Docs: Plan 2 Operator UX Panel — current-sprint + Changelog,2,50,❓review,no-heuristic-match,docs/current-sprint.md
a909afa1,2026-04-13,"Feat(Messenger): Plan 3 Task 1 — поля resolution, escalation_level, last_escalated_at",3,90,🟡featured,feat-subject-backend,backend/messenger/migrations/0022_conversation_escalation_fields.py
